id,label,name,gender,birthday,description,date,location
29c69821-2b44-43e3-a8f6-4843032bf432,Person,安安,男,2019-05-20,,,
8bd41714-6f18-4f36-bbc0-11da1f6ae682,Person,张伟,男,1988-03-15,,,
01b622c1-aac7-4fe7-a629-ceeeb3308322,Person,李娜,女,1990-08-10,,,
d3eebcd5-88a5-4510-aebf-3f076abc678d,Person,张建国,男,1960-01-01,,,
37cdac8e-b2d6-4ff7-a644-092c9a198361,Person,王淑芬,女,1962-12-12,,,
8e13f227-11b0-411a-a71b-3d047aeef791,Item,奥特曼,,,,,
2005f805-4c14-47f9-96ec-7e473db1f8b0,Item,西兰花,,,,,
f4f48fd8-20d5-49ab-ac7f-a0c444fa2b5e,Item,巧克力冰淇淋,,,,,
e13697e5-8ea7-4f91-b7f4-9199ea019af5,Item,大黑狗,,,,,
2f27d088-0a08-4ed8-b06c-16a64a5c9bc1,Item,打针,,,,,
24b959c1-08e6-47b0-8948-fc51127717a5,Event,,,,全家去动物园看老虎,2023-10-01,野生动物园
8e5b2256-3994-4f10-82fe-d11c43ac7693,Event,,,,安安发烧去医院,2023-11-15,儿童医院
